date,type,example_num,m,n,t,error,mean method, preproc, noise low, noise high, low rank method
25-May-2016 12:26:44, 	 GCD, 	 Custom:m=9 n=8 t=4 low=-1 high=5, 	 9, 	 8, 	     4, 	 5.559514e-10, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:44, 	 GCD, 	 Custom:m=7 n=7 t=5 low=-1 high=5, 	 7, 	 7, 	     5, 	 4.986703e-12, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:45, 	 GCD, 	 Custom:m=9 n=8 t=4 low=-1 high=5, 	 9, 	 8, 	     4, 	 2.681563e-08, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:45, 	 GCD, 	 Custom:m=7 n=7 t=5 low=-1 high=5, 	 7, 	 7, 	     5, 	 2.077530e-12, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:45, 	 GCD, 	 Custom:m=9 n=8 t=4 low=-1 high=5, 	 9, 	 8, 	     4, 	 1.384172e-09, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:45, 	 GCD, 	 Custom:m=9 n=8 t=4 low=-1 high=5, 	 9, 	 8, 	     4, 	 2.145604e-09, 	 None, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:45, 	 GCD, 	 Custom:m=7 n=7 t=5 low=-1 high=5, 	 7, 	 7, 	     5, 	 2.091763e-12, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:45, 	 GCD, 	 Custom:m=7 n=7 t=4 low=-1 high=5, 	 7, 	 7, 	     4, 	 2.803860e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
25-May-2016 12:26:45, 	 GCD, 	 Custom:m=7 n=7 t=4 low=-1 high=5, 	 7, 	 7, 	     4, 	 6.897161e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 None 
25-May-2016 12:26:45, 	 GCD, 	 Custom:m=9 n=8 t=4 low=-1 high=5, 	 9, 	 8, 	     4, 	 2.353858e-10, 	 None, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
