date,type,example_num,m,n,t,error,mean method, preproc, noise low, noise high, low rank method
14-Nov-2016 17:08:38, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 1.128969e-10, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-10, 	 1.000000e-12, 	 Standard SNTLN 
14-Nov-2016 17:08:43, 	 GCD, 	 2, 	 19, 	 16, 	     9, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-10, 	 1.000000e-12, 	 Standard SNTLN 
14-Nov-2016 17:08:48, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 1.456491e-10, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-10, 	 1.000000e-12, 	 None 
14-Nov-2016 17:08:54, 	 GCD, 	 2, 	 19, 	 16, 	     9, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-10, 	 1.000000e-12, 	 None 
14-Nov-2016 17:08:59, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 3.884955e-13, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
14-Nov-2016 17:09:06, 	 GCD, 	 2, 	 19, 	 16, 	     8, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-10, 	 1.000000e-12, 	 Standard STLN 
14-Nov-2016 17:09:09, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 7.944402e-13, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard SNTLN 
14-Nov-2016 17:09:17, 	 GCD, 	 2, 	 19, 	 16, 	     8, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-10, 	 1.000000e-12, 	 Standard SNTLN 
14-Nov-2016 17:09:19, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 4.511990e-13, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 None 
14-Nov-2016 17:09:26, 	 GCD, 	 2, 	 19, 	 16, 	     8, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-10, 	 1.000000e-12, 	 None 
14-Nov-2016 17:09:28, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 1.457043e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
14-Nov-2016 17:09:37, 	 GCD, 	 2, 	 19, 	 16, 	     9, 	 9.999999e+06, 	 Geometric Mean Matlab Method, 	 y, 	 1.000000e-12, 	 1.000000e-12, 	 Standard STLN 
14-Nov-2016 17:09:38, 	 GCD, 	 1, 	 4, 	 4, 	     3, 	 1.457043e-12, 	 Geometric Mean Matlab Method, 	 n, 	 1.000000e-12, 	 1.000000e-12, 	 Standard SNTLN 
